X,Y
802,2044
1773,1082
84,808
341,787
7,729
2028,676
279,657
1352,644
1328,612
1321,576
1358,573
1225,570
1304,559
1256,550
1374,545
877,536
916,534
1209,529
1262,495
943,489
751,486
1186,474
1288,466
1395,457
1255,453
1037,451
1065,439
1231,438
1184,431
817,430
180,425
882,420
926,406
1163,402
1356,380
629,380
610,364
1031,362
910,361
602,334
759,306
412,280
996,241
938,217
538,214
915,208
810,207
854,187
996,185
